N ,Parameter 1,Parameter 2,Parameter 3,Parameter 5,Parameter 6,Parameter 7,Parameter 8,Parameter 9,Parameter 10,Parameter 11,Parameter 12,Parameter 13,Parameter 14,Parameter 15,Parameter 16,Parameter 17,Parameter 18,Parameter 19,Parameter 20,Parameter 21,Parameter 22,Parameter 31,Parameter 32,Parameter 33,Parameter 34,Parameter 35,Parameter 36,Parameter 37,Parameter 38,Parameter 39,Populations
97,2.121808,9.78286,3.589349353,3.197173292,2.62,3.93,1.31,2.62,0.111405835,4.063238121,1.098650603,0.8787,0.016833333,0,0.861866667,0,0.019157088,0,0.980842912,0,0,9,5,3,14.7473835,14.7473835,0,0,0,0,stim
98,0.81608,4.523992,1.995726656,3.226390163,2.62,10.48,2.62,7.86,0.354597747,11.05394902,2.354999056,0.357902564,0,0.148133333,0.209769231,0,0,0.413892909,0.586107091,0,0.04266014,6,3,8,11.73472729,11.5635076,0.122931042,0.184344044,0,0,stim
99,0.897688,5.922236,3.109110348,4.626420208,2.62,5.24,2.62,2.62,0.128004178,7.492149629,0.666404178,0,0,0,0,0,,,,,0,6,1,3,0,0,0,0,0,0,stim
100,2.0402,10.940724,4.668845658,2.777101332,3.93,7.86,5.24,2.62,0.150229886,6.490733355,1.123584996,0,0,0,0,0,,,,,0,14,8,2,12.92957803,12.92957803,0,0,0,0,stim
102,1.183316,6.13272,2.529272794,3.296770137,2.62,5.24,2.62,2.62,0.098493859,4.90951636,1.219226578,0,0,0,0,0,,,,,0,9,4,8,12.57764318,12.57764318,0,0,0,0,stim
107,1.550552,8.154134,3.412396507,2.685420391,5.24,13.1,1.31,11.79,0.253781021,11.58493595,5.567951012,2.413525926,2.036833333,0.0101,0.366592593,0,0.843924365,0.004184749,0.151890887,0,2.479897354,3,2,4,5.373788568,5.267515543,0,0,0,0,stim
132,0.489648,2.497528,1.013740699,3.274943696,3.93,13.1,3.93,9.17,0.270593882,10.67740043,5.059819888,0,0,0,0,0,,,,,0,3,1,6,17.94051148,17.94051148,0,0,0,0,stim
140,0.897688,5.163726,2.363693142,4.804136721,2.62,6.55,3.93,2.62,0.2157785,10.49623003,0.841009981,0.375383333,0.25755,0.117833333,0,0,0.686098655,0.313901345,0,0,0.072944444,10,2,7,16.6242441,16.6242441,0.005967913,0.081132644,0,0,stim
143,1.142512,6.114338,2.603923682,3.801545261,2.62,7.86,2.62,5.24,0.117610842,5.775101488,0.859219964,0.067333333,0,0,0,0.067333333,0,0,0,1,0.052904762,3,2,2,6.01176909,5.99569212,0,0,0,0,stim
145,0.367236,1.551966,0.521926434,4.267858535,2.62,9.17,6.55,2.62,0.368454695,17.75139213,1.376422689,0,0,0,0,0,,,,,0,6,2,8,17.13708713,17.10810019,0,0,0,0,stim
152,0.571256,2.442382,0.830972292,3.799907762,2.62,6.55,3.93,2.62,0.296387553,7.995320596,0.912645545,0,0,0,0,0,,,,,0,7,1,7,15.92537169,15.7313782,0,0,0,0,stim
206,0.40804,1.7574,0.602321882,5.174107541,1.31,2.62,1.31,2.62,0.087356329,6.085108568,1.025055919,0,0,0,0,0,,,,,0,2,1,3,5.252,5.252,0,0,0,0,stim
1,20.238784,32.655118,4.192839474,5.965552247,5.24,7.86,2.62,5.24,1.112275243,19.10597578,2.64799634,1.543305918,0,0,1.543305918,0,0,0,1,0,0.010528303,7,3,1,0,0,0.016484816,16.97111807,0.016484816,3.511265808,Control
2,12.322808,30.976094,6.196318902,3.926190761,6.55,11.79,5.24,6.55,1.160840273,17.15147019,4.079574302,0,0,0,0,0,,,,,0,4,3,1,0,0,0,0,0,0,Control
3,15.668736,34.4208,6.017250511,4.532956356,3.93,7.86,3.93,3.93,0.646900654,10.25044367,1.014670711,0,0,0,0,0,,,,,0,8,3,1,0,0,0,0,0,0,Control
4,5.30452,19.462498,5.682523058,3.660296816,3.93,9.17,3.93,5.24,0.918158829,15.82823563,1.636245291,0.153310036,0,0,0,0.153310036,0,0,0,1,0.002989704,6,1,3,0.319734228,0.202,0,0.11065328,0,0,Control
5,1.876984,8.174132,2.832780073,3.987524494,2.62,3.93,1.31,2.62,0.335352808,5.665415552,1.090710997,0,0,0,0,0,,,,,0,5,2,1,0.728321358,0.728321358,0,0,0,0,Control
6,1.346532,5.99738,2.125673661,3.341287754,3.93,5.24,2.62,1.31,0.791852951,9.650580343,0.443961979,0.21490532,0,0.061437788,0.153467532,0,0,0.285883048,0.714116952,0,0,4,2,1,0.884900911,0.404,0,0,0,0,Control
7,1.183316,5.95395,2.383964399,4.811681589,2.62,3.93,1.31,2.62,0.270209134,6.185929554,0.49570824,0,0,0,0,0,,,,,0,2,1,2,10.19849969,10.19849969,0,0,0,0,Control
8,0.897688,5.564696,2.745033215,4.939029338,3.93,10.48,6.55,3.93,0.864381492,14.43677031,1.466532923,0,0,0,0,0,,,,,0.103589744,5,1,1,0,0,0,0,0,0,Control
9,0.81608,3.252604,1.031620075,4.569446429,2.62,2.62,1.31,1.31,0.272131145,5.830319059,0.443961979,0,0,0,0,0,,,,,0,1,1,1,13.75974418,13.75974418,0,0,0,0,Control
11,0.448844,2.362188,0.989290024,4.736782068,2.62,3.93,2.62,1.31,0.338301033,7.052498117,0.443961979,0,0,0,0,0,,,,,0,2,1,1,12.18044925,12.18044925,0,0,0,0,Control
12,0.367236,1.62711,0.573691897,3.402583713,2.62,13.1,5.24,7.86,0.890710354,12.41100677,0.948815921,0,0,0,0,0,,,,,0,3,1,3,1.045365132,1.01,0,0,0,0,Control
1,4.774068,19.906696,6.605411891,3.44736228,2.62,5.24,1.31,3.93,0.375923514,5.713336522,1.556942175,0.022954545,0,0.022954545,0,0,0,1,0,0,2.073404575,9,3,2,4.378003398,3.434,0,0,0,0,stim
2,4.162008,22.449472,9.636059822,3.317469985,2.62,5.24,2.62,2.62,0.369225621,5.390943732,0.696582084,0,0,0,0,0,,,,,0,7,5,1,0.903371463,0.903371463,0,0,0,0,stim
3,3.223516,13.606922,4.570672418,4.492116169,3.93,5.24,2.62,2.62,0.686333418,10.16406912,1.264544189,0.378798832,0,0.289640212,0.089158621,0,0,0.764628048,0.235371952,0,0,5,5,1,0.1515,0,0,0,0,0,stim
4,3.345928,14.223224,4.811379841,3.807193966,2.62,5.24,1.31,3.93,0.417527884,5.682805176,1.249067233,0.000510101,0,0,0.000510101,0,0,0,1,0,0.017671408,6,5,1,1.01,1.01,0,0,0,0,stim
5,2.693064,12.79165,4.835001324,2.511478345,2.62,13.1,6.55,6.55,0.8130458,11.45598095,5.284690337,0.383283879,0.010821429,0.005189723,0,0.367272727,0.028233456,0.013540155,0,0.958226388,0.3045886,8,4,1,3.343694962,3.343694962,0,0,0,0,stim
6,2.733868,11.752562,4.020478058,3.861134073,2.62,9.17,3.93,5.24,0.469263822,7.435627488,1.651205583,0.34176775,0.001306034,0.001942308,0.308179487,0.030339921,0.003821409,0.005683122,0.901721964,0.088773505,0.112726781,5,4,2,8.282,8.282,0,0.208047548,0,0,stim
7,2.162612,8.383,2.58589246,4.132661796,3.93,5.24,2.62,2.62,0.488647252,8.453117865,0.983208296,0,0,0,0,0,,,,,0,5,5,2,1.616,1.616,0,0,0,0,stim
8,2.407436,10.823766,3.872506672,3.09876628,2.62,3.93,2.62,1.31,0.384372354,4.834653984,0.443961979,0,0,0,0,0,,,,,0,5,5,1,0,0,0,0,0,0,stim
9,1.346532,6.054142,2.166100804,3.875959035,2.62,3.93,2.62,1.31,0.46276319,6.681121533,0.443961979,0.283340017,0,0,0.238451128,0.044888889,0,0,0.841572365,0.158427635,0.003443182,3,1,1,4.411746593,4.411746593,0,0,0,0,stim
11,1.713768,10.01011,4.652815231,3.324504529,2.62,5.24,1.31,3.93,0.400322855,5.51890561,1.36835353,0.03847619,0,0.03847619,0,0,0,1,0,0,0.0404,6,3,1,7.741013781,6.859082446,0,0,0,0,stim
12,0.775276,3.859008,1.528569374,2.444952737,2.62,13.1,1.31,11.79,0.758251548,13.80874905,9.66607386,0.335630769,0.186461538,0,0.149169231,0,0.555555556,0,0.444444444,0,0,1,1,1,4.754344718,4.698400153,0,0,0,0,stim
13,0.734472,3.484904,1.315820141,3.53809205,2.62,3.93,1.31,2.62,0.544256091,6.205870002,1.036377318,0,0,0,0,0,,,,,0,4,2,1,6.028785072,5.78439971,0,0.004716078,0,0,stim
14,0.693668,3.103932,1.105255977,4.751868052,2.62,2.62,1.31,1.31,0.305084735,6.565076213,0.443961979,0,0,0,0,0,,,,,0,3,1,1,2.982494258,2.982494258,0,0,0,0,stim
15,0.489648,2.721344,1.203574667,5.427042232,2.62,3.93,1.31,2.62,0.354519784,6.664822428,0.835459473,0,0,0,0,0,,,,,0,5,2,1,6.378211975,6.378211975,0,0,0,0,stim
18,0.448844,2.059794,0.75221552,4.494274283,2.62,2.62,1.31,1.31,0.234206468,5.880367782,0.443961979,0,0,0,0,0,,,,,0,1,1,2,10.06357432,10.06357432,0,0,0,0,stim
19,0.734472,3.83901,1.596810497,4.544394883,2.62,3.93,1.31,2.62,0.353107333,6.78083077,1.312948896,0.101,0,0.101,0,0,0,1,0,0,0,4,1,1,10.0290508,10.0290508,0,0,0,0,stim
5,10.152675,27.53361,5.94204539,4.438797516,5.24,9.17,1.31,7.86,0.413393795,14.33209812,3.720003804,4.635426073,2.644371645,1.558466981,0.432587447,0,0.570470029,0.336207925,0.093322046,0,0.107878788,2,1,2,14.235,14.235,0,0,0,0,Control
32,2.7378,12.60636,4.61921128,4.293168581,3.93,6.55,2.62,3.93,0.309123337,11.57183112,0.694921165,0,0,0,0,0,,,,,0,2,1,2,17.16,17.16,0,0,0,0,Control
61,0.53235,3.418935,1.747328521,4.762187672,3.93,6.55,2.62,3.93,0.298165113,12.36726762,2.103699379,0.0975,0,0.0975,0,0,0,1,0,0,0,1,1,3,7.926637388,7.785361263,0,0,0,0,Control
82,0.38025,1.97067,0.812734553,3.925612878,3.93,3.93,1.31,2.62,0.232110098,7.607778883,1.498289219,0,0,0,0,0,,,,,0,1,1,4,13.23991125,13.23991125,0,0,0,0,Control
7,11.2554,39.277095,10.90706548,5.318279085,6.55,13.1,3.93,9.17,0.742468476,22.38694122,3.502594176,19.31295387,0,16.43668065,2.766647032,0.109626185,0,0.851070259,0.143253438,0.005676303,1.877354517,4,1,5,11.14070849,3.750899892,0,0.177229478,0,0,Control
15,0.68445,3.4866,1.413359557,10.60373358,15.72,52.4,30.13,22.27,5.213047981,250.3801171,18.91202614,0.154037338,0.040519481,0,0.045267857,0.06825,0.263049733,0,0.293875873,0.443074394,0.0195,2,1,8,16.99276193,16.98404104,0.099506271,0.471619953,0,0,Control
17,3.003975,16.07697,6.847029905,3.267391568,3.93,9.17,2.62,6.55,0.418186009,10.68164651,3.389334006,0.103244729,0,0.080469633,0.015810811,0.006964286,0,0.77940669,0.153139157,0.067454152,0.006964286,1,1,7,9.589245639,8.296098481,0,0,0,0,Control
20,1.559025,7.705425,3.030611395,4.571908329,2.62,7.86,2.62,5.24,0.32378611,12.77830538,2.615477357,0,0,0,0,0,,,,,0,4,1,1,16.79831911,16.79831911,0,0,0,0,Control
26,0.646425,2.88834,1.026995691,4.914506878,5.24,37.99,3.93,34.06,1.432271957,68.86038443,31.02840188,0,0,0,0,0,,,,,0,1,1,7,15.24228539,15.22998687,0,0,0,0,Control
30,1.102725,5.13318,1.901498129,2.928793063,6.55,24.89,11.79,13.1,0.655172348,18.23833557,6.993113533,0.06175,0,0.0195,0.01625,0.026,0,0.315789474,0.263157895,0.421052632,0.415087719,1,1,4,4.728133783,4.71238793,0,0.002738438,0,0,Control
51,0.342225,1.82715,0.776295035,8.808771717,3.93,73.36,3.93,69.43,1.997961283,119.2238978,278.4270315,0,0,0,0,0,,,,,0,2,1,8,18.34041891,18.20928335,0,0.032350437,0,0,Control
1,43.766775,47.17635,4.046637141,4.563115316,6.55,11.79,2.62,9.17,0.697958469,16.76250442,3.404479387,7.730959511,4.860437788,0,2.870099645,0.000422078,0.628697871,0,0.371247533,5.46E-05,0.003286101,7,2,3,0.065,0,0,0,0,0,Control
2,35.8956,95.028375,20.01960594,4.768449969,6.55,10.48,1.31,9.17,0.894418657,19.30182798,4.112585339,48.38911547,14.51363175,14.18740279,1.614268096,18.07381283,0.299935876,0.293194092,0.033360149,0.373509882,0.569274696,18,2,3,0,0,34.36794563,73.37018813,33.41884163,0,Control
4,11.673675,35.42448,8.55439905,4.855915257,7.86,24.89,3.93,19.65,2.116188049,46.85993086,14.29627783,9.076931217,1.742157258,1.297478927,5.068272504,0.969022528,0.191932407,0.142942465,0.558368504,0.106756623,2.844176167,18,1,5,2.733303472,2.072878433,9.128165541,0.536868654,0,0,Control
6,11.065275,31.904145,7.320186487,4.987001164,3.93,7.86,2.62,3.93,0.365143955,12.7952107,2.813305047,0,0,0,0,0,,,,,0,4,1,5,2.035859769,2.035859769,0,0,0,0,Control
8,5.057325,20.569965,6.657886354,3.116406174,6.55,26.2,6.55,18.34,0.501827896,11.97838177,4.778455114,0.172692814,0,0,0.056348276,0.116344538,0,0,0.326291955,0.673708045,0.095741176,5,2,4,5.85,5.85,0,0,0,0,Control
11,2.699775,9.64548,2.742270263,4.056975095,9.17,26.2,19.65,6.55,1.417108059,42.80627729,4.346818649,0.836952551,0.518337209,0.053392857,0.255472484,0.00975,0.619314929,0.063794366,0.3052413,0.011649406,0.0975,9,5,4,5.494711093,5.494711093,0.043138413,1.809347709,0,0,Control
12,4.372875,17.386395,5.501006487,5.67277834,6.55,10.48,2.62,7.86,0.679377794,19.12137463,3.765301637,0,0,0,0,0,,,,,0,5,2,3,6.348740032,6.348740032,0,0,0,0,Control
13,1.482975,6.26691,2.107478835,6.863480965,15.72,23.58,10.48,13.1,1.609033227,57.53166329,6.510155571,0.26782197,0.106363636,0.03,0.120625,0.010833333,0.397143059,0.112014709,0.450392476,0.040449756,0,8,5,4,5.597614184,5.583950215,0,0.910541731,0,0,Control
16,3.156075,15.214095,5.836265877,3.703351451,13.1,17.03,9.17,7.86,0.704653502,28.57932893,3.415469613,7.365714294,1.542016667,3.824373464,1.753008373,0.246315789,0.209350595,0.519212844,0.237995706,0.033440856,1.73409348,1,1,3,10.4367319,9.652007563,0.118638,0.0296595,0,0,Control
18,2.8899,13.05642,4.694134672,3.270982831,6.55,10.48,2.62,5.24,0.341622412,12.01400176,4.284566864,0.902571429,0,0.637928571,0,0.264642857,0,0.706790123,0,0.293209877,0,4,1,6,7.636479165,6.836133776,0,0,0,0,Control
22,1.863225,9.51483,3.866579105,3.694299746,6.55,10.48,5.24,5.24,0.676277876,14.9062747,0.971476964,0.077131336,0,0.0325,0.044631336,0,0,0.421359223,0.578640777,0,0.185292208,5,1,2,7.80777259,7.491655358,0,0,0,0,Control
24,1.406925,6.131385,2.126357892,5.103223029,7.86,28.82,6.55,22.27,2.048103094,63.02444007,26.13905804,2.039989496,1.54375,0.0325,0.463739496,0,0.756744093,0.015931455,0.227324453,0,0.239840686,7,5,5,5.843496385,5.843496385,0.041199194,0.041990928,0,0,Control
29,1.74915,8.12955,3.006741518,4.645735845,9.17,20.96,9.17,10.48,1.093737602,36.45664159,4.998693876,1.229009804,0.91,0.001625,0.317384804,0,0.740433475,0.001322203,0.258244322,0,0.138190476,8,5,4,5.946417107,5.940303023,0.015340647,0.688683021,0,0,Control
33,0.646425,2.99637,1.105255977,4.652974325,3.93,13.1,10.48,2.62,0.593631923,22.48396281,0.459503623,0.021666667,0,0,0,0.021666667,0,0,0,1,0,1,1,7,13.6944989,13.6944989,0,0.091350754,0,0,Control
37,1.74915,6.870045,2.147248189,7.120628035,2.62,3.93,1.31,2.62,0.213003591,10.08816295,1.090626052,0,0,0,0,0,,,,,0,4,4,1,17.18325129,17.18325129,0,0,0,0,Control
38,2.471625,12.267645,4.845403587,3.864586667,3.93,5.24,2.62,2.62,0.239661247,8.460784183,1.586474151,0.7865,0.075833333,0,0,0.710666667,0.096418733,0,0,0.903581267,0.246826398,5,4,4,14.58464432,14.58464432,0,0,0,0,Control
39,1.59705,9.9762,4.959089167,3.944552853,3.93,3.93,1.31,2.62,0.32678026,6.267148518,1.275250206,0,0,0,0,0,,,,,0.299,12,5,3,3.595622338,3.595622338,0,0,0,0,Control
42,0.874575,3.873675,1.365335677,5.696916141,3.93,9.17,5.24,3.93,0.349820524,15.94334437,1.922432069,0,0,0,0,0,,,,,0,4,2,4,8.895505888,8.895505888,0,0,0,0,Control
44,0.6084,2.7222,0.969261561,4.677215518,3.93,10.48,6.55,3.93,0.361811936,15.42892751,0.582446763,0,0,0,0,0,,,,,0,1,1,4,13.15202361,13.15202361,0,0,0,0,Control
46,1.74915,8.219835,3.073896789,4.790807776,3.93,5.24,1.31,3.93,0.228759468,8.726400108,1.670826831,1.657035714,0.299,0,0,1.358035714,0.180442701,0,0,0.819557299,0,5,4,3,15.54301772,15.23123518,0,0,0,0,Control
47,0.798525,4.8945,2.38736204,3.544430007,3.93,17.03,5.24,11.79,0.575360417,19.76398727,33.60913573,0.0975,0,0,0.0585,0.039,0,0,0.6,0.4,0,4,2,4,8.817072851,8.720665112,0,0,0,0,Control
50,1.254825,4.004325,1.016870411,8.720645624,2.62,3.93,1.31,2.62,0.238810122,10.63564077,0.797085165,0,0,0,0,0,,,,,0,4,4,3,17.61595938,17.61595938,0,0,0,0,Control
53,0.53235,3.54471,1.878253897,3.866233652,9.17,18.34,15.72,2.62,1.483617187,26.99626909,0.72492751,0.083571429,0,0.083571429,0,0,0,1,0,0,0,4,1,4,3.709349957,3.627209671,0.293449147,0.004723938,0,0,Control
54,0.722475,3.54471,1.383976555,7.807469318,5.24,6.55,1.31,5.24,0.660550475,24.66746306,3.033904408,0,0,0,0,0,,,,,0,2,2,6,11.86138693,11.86138693,0,0,0,0,Control
59,0.418275,2.41098,1.105898945,5.078060774,5.24,11.79,5.24,6.55,0.638865769,22.16449682,0.798844138,0,0,0,0,0,,,,,0,3,1,3,9.117162387,9.117162387,0.009447877,0.258710167,0,0,Control
62,0.874575,3.99945,1.455437702,3.353949923,3.93,6.55,2.62,3.93,0.258476257,8.202003662,1.905014697,0,0,0,0,0,,,,,0,3,1,4,6.446063446,6.107579308,0,0,0,0,Control
65,0.798525,4.47525,1.995888248,5.174518885,2.62,28.82,20.96,7.86,0.84228915,14.22369001,2.644828095,0,0,0,0,0,,,,,0,4,1,5,4.057860668,3.948449063,0,0.002488901,0,0,Control
73,0.418275,2.64966,1.335698774,7.822268947,2.62,19.65,9.17,10.48,0.608006716,19.17902772,2.966415735,0,0,0,0,0,,,,,0,5,1,4,4.72045019,4.72045019,0,0.003914046,0,0,Control
74,0.418275,2.20935,0.928661135,4.806233499,2.62,3.93,1.31,2.62,0.336113453,14.01135508,1.16567545,0.00975,0,0,0.00975,0,0,0,1,0,0,1,1,5,6.414284839,6.414284839,0,0,0,0,Control
84,0.53235,3.086655,1.424193694,5.946668581,2.62,11.79,1.31,10.48,0.236566186,8.508822643,2.202490601,0,0,0,0,0,,,,,0,2,2,2,12.58118079,12.518028,0,0,0,0,Control
86,0.342225,1.952925,0.8868487,3.396194534,3.93,9.17,6.55,2.62,0.388379186,7.963977611,1.536673936,0,0,0,0,0,,,,,0,7,1,6,7.068581895,7.068581895,0,0,0,0,Control
3,17.073225,36.892245,6.343730732,8.088386758,6.55,11.79,1.31,9.17,0.960013449,40.17221679,6.381776473,2.432529926,0,1.620851222,0,0.811678704,0,0.66632324,0,0.33367676,1.203681818,2,1,5,0,0,0,0,0,0,Control
48,1.6731,9.281025,4.096944887,6.305229752,2.62,13.1,10.48,2.62,0.375104249,16.15405801,0.529085442,0.925430672,0,0.647678571,0,0.277752101,0,0.699867198,0,0.300132802,0.820966387,2,1,8,0.04875,0,0,0,0,0,Control
9,3.72645,17.1171,6.256842362,4.926469732,7.86,18.34,7.86,10.48,0.986332178,26.61159067,3.748079231,0.087413839,0.024270982,0,0.049214286,0.013928571,0.277656054,0,0.56300337,0.159340576,0.425131472,8,1,5,4.436390091,4.382079986,0.008885202,0,0,0,Control
10,5.1714,17.696055,4.818755862,5.835687073,2.62,5.24,2.62,2.62,0.264975697,8.183109707,0.695571576,0,0,0,0,0,,,,,0,4,1,4,0.39,0.39,0,0,0,0,Control
14,2.1294,10.64856,4.237548197,3.175967714,9.17,17.03,5.24,11.79,0.748361707,26.4031448,10.25313037,0.124776786,0,0.030642857,0.068017857,0.026116071,0,0.245581395,0.545116279,0.209302326,0.567050334,3,1,4,4.552320837,4.552320837,0.241205877,0,0,0,Control
21,2.50965,11.4582,4.163032244,2.498565329,5.24,10.48,7.86,2.62,0.392549336,7.773049006,0.514563027,0.04797619,0,0,0.04797619,0,0,0,1,0,0.113994361,1,1,6,0,0,0,0,0,0,Control
27,1.2168,7.179705,3.371197029,2.450718543,6.55,7.86,1.31,5.24,0.348050505,10.70258764,2.66544572,0,0,0,0,0,,,,,0,1,1,2,1.186138693,1.186138693,0,0,0,0,Control
28,1.178775,6.521775,2.871381135,2.91115638,7.86,70.74,52.4,18.34,0.340337366,10.66361405,6.681267914,0,0,0,0,0,,,,,0,5,3,4,6.858347104,6.858347104,0,0,0,0,Control
31,1.29285,5.86209,2.115178191,3.710188544,1.31,3.93,1.31,3.93,0.136535347,4.192377472,0.739051274,0,0,0,0,0,,,,,0,2,1,3,2.443342997,2.443342997,0,0,0,0,Control
34,0.83655,5.389605,2.763198643,4.425384406,5.24,36.68,18.34,18.34,1.627189159,35.76595793,7.347606097,0.061285714,0,0,0.061285714,0,0,0,1,0,0,4,2,6,5.375400222,5.062494444,0.038900001,0.11547189,0,0,Control
35,0.874575,6.09921,3.384856414,3.616132324,3.93,27.51,2.62,24.89,1.065416813,34.9026789,72.33359008,0.070416667,0,0.070416667,0,0,0,1,0,0,0.08125,2,1,5,5.068928449,2.535,0,0.12439819,0,0,Control
36,1.939275,9.785685,3.929462972,2.543492459,3.93,5.24,1.31,3.93,0.442525595,10.41239554,2.238818497,0,0,0,0,0,,,,,0,1,1,4,7.282513482,6.458593113,0,0,0,0,Control
40,0.98865,6.449235,3.347834417,3.400571216,2.62,9.17,2.62,6.55,0.289696544,8.300082807,1.199360768,0.065,0,0.065,0,0,0,1,0,0,0.315714286,4,3,4,7.47386948,7.47386948,0,0,0,0,Control
41,0.494325,4.12854,2.743914371,4.234603545,2.62,10.48,5.24,5.24,0.924488366,25.05213793,3.106040221,0.065,0,0.065,0,0,0,1,0,0,0.125357143,2,1,5,7.833644347,7.714215773,0,0,0,0,Control
45,0.6084,3.525405,1.625619735,4.316689131,2.62,6.55,1.31,5.24,0.239105523,8.402539074,1.180066495,0,0,0,0,0,,,,,0,1,1,7,8.978474258,8.978474258,0,0,0,0,Control
49,0.38025,2.85129,1.701389292,6.091257684,2.62,9.17,3.93,5.24,0.884403646,23.03779918,0.787654442,0,0,0,0,0,,,,,0,2,1,4,5.6624415,5.549797294,0.03714595,0.020315191,0,0,Control
52,0.798525,4.147845,1.71453619,4.060601859,5.24,6.55,2.62,3.93,0.318916559,11.57300031,1.835405216,0,0,0,0,0,,,,,0,3,3,8,8.330403652,8.330403652,0,0,0,0,Control
63,0.570375,2.704455,1.020443992,3.715451595,2.62,7.86,3.93,3.93,0.275840968,7.80179153,1.187720606,0.041785714,0.0195,0.022285714,0,0,0.466666667,0.533333333,0,0,0,2,1,3,5.148147725,5.148147725,0,0,0,0,Control
66,0.342225,1.772355,0.730432071,5.022793231,3.93,11.79,2.62,9.17,0.550458729,23.70315899,0.702274598,0,0,0,0,0,,,,,0,2,1,4,1.930401513,1.930401513,0,0,0,0,Control
76,0.4563,2.191605,0.837653162,5.180141251,3.93,7.86,3.93,3.93,0.259938836,8.687968501,1.555891098,0,0,0,0,0,,,,,0,3,2,4,5.583950215,5.583950215,0,0,0,0,Control
87,0.38025,3.489915,2.548887175,6.470718689,2.62,5.24,1.31,3.93,0.336697251,9.145768543,1.199949915,0,0,0,0,0,,,,,0,4,1,3,5.491249858,5.491249858,0,0.087516078,0,0,Control
9,19.39275,36.38739,5.433160671,4.938551521,5.24,10.48,2.62,7.86,0.729511917,15.69938199,2.935962471,0.725955287,0.060766284,0,0,0.665189003,0.08370527,0,0,0.91629473,1.298790162,9,2,5,0,0,0,0,0,0,stim
15,10.608975,21.073065,3.330980754,6.846173941,5.24,10.48,1.31,7.86,1.031782746,25.0050645,3.6106022,0,0,0,0,0,,,,,0,6,2,5,0,0,0,0,0,0,stim
19,3.1941,14.291745,5.08876206,4.028734225,6.55,9.17,1.31,7.86,0.472303122,15.14216668,4.230564853,0,0,0,0,0,,,,,0,4,3,5,17.38236606,17.38236606,0,0,0,0,stim
27,3.6504,20.55378,9.209437133,3.548618479,2.62,10.48,2.62,7.86,0.328868985,8.062571053,2.204312454,0.32911348,0.010785669,0.010173913,0.025513369,0.282640529,0.032771886,0.030913085,0.077521495,0.858793534,0.092040088,4,3,8,17.85182134,17.85182134,0.036876165,0.117431076,0,0,stim
28,3.460275,15.46896,5.503028396,3.412664945,3.93,10.48,2.62,7.86,0.459071457,11.62988086,4.042281364,0.1841133,0.157857143,0,0.026256158,0,0.857391304,0,0.142608696,0,0.18213481,5,3,5,16.38861792,16.38116067,0,0,0,0,stim
29,2.623725,10.427625,3.2979391,1.645190425,10.48,13.1,7.86,5.24,0.536083996,9.921351143,3.771518324,0.548426144,0.047054348,0.482857143,0,0.018514653,0.085798878,0.880441511,0,0.033759611,0.055836944,7,2,6,4.095,4.095,0,1.193794875,0,0,stim
32,4.448925,20.520045,7.531676695,2.480387918,3.93,6.55,2.62,3.93,0.32330361,6.324644582,2.179810739,0.449067749,0,0.449067749,0,0,0,1,0,0,0.473352941,12,2,10,0,0,0,0,0,0,stim
37,2.167425,10.88568,4.350680432,4.196082113,2.62,7.86,3.93,3.93,0.289473653,9.44506391,1.719862409,0,0,0,0,0,,,,,0,4,2,6,18.49521289,18.49521289,0,0,0,0,stim
38,1.559025,6.37494,2.074384505,3.060574554,6.55,11.79,9.17,2.62,0.462418973,13.72916213,1.393456373,0,0,0,0,0,,,,,0,4,2,4,18.67220461,18.67220461,0,0,0,0,stim
50,1.90125,10.59708,4.700275723,3.244840086,3.93,5.24,2.62,2.62,0.367550969,9.287757397,1.242135227,0,0,0,0,0,,,,,0,3,1,1,4.276683879,4.276683879,0,0,0,0,stim
81,0.646425,4.58328,2.585977676,3.287256673,2.62,5.24,1.31,3.93,0.249699861,4.9113417,0.782772238,0.275785714,0,0.188035714,0.08775,0,0,0.681818182,0.318181818,0,0,2,1,6,15.90894088,15.90894088,0,0.055100718,0,0,stim
90,0.7605,3.525405,1.300495788,3.833960393,2.62,3.93,1.31,2.62,0.266836703,6.519912046,1.003250959,0,0,0,0,0,,,,,0,1,1,8,13.26,13.26,0,0,0,0,stim
97,0.570375,2.86572,1.145769253,3.933756361,3.93,5.24,1.31,3.93,0.286394536,9.283084698,1.873857292,0,0,0,0,0,,,,,0,4,2,8,18.49521289,18.49521289,0,0,0,0,stim
104,0.418275,1.714245,0.55908007,3.360022718,2.62,7.86,1.31,6.55,0.463821858,10.45237463,2.145447284,0,0,0,0,0,,,,,0,1,1,3,14.28041574,14.23633555,0,0,0,0,stim
142,0.38025,3.180255,2.116629289,3.688064284,2.62,5.24,1.31,3.93,0.324489802,6.963902855,0.738422995,0,0,0,0,0,,,,,0,5,2,3,4.68,4.68,0,0.177957,0,0,stim
21,4.448925,18.10731,5.864661161,4.296413111,7.86,15.72,6.55,9.17,0.747165442,20.59461995,5.844723547,0.017094539,0,0,0.005898367,0.011196172,0,0,0.345043915,0.654956085,0.086749679,4,3,5,5.326035111,5.326035111,0,0,0,0,stim
